#arXiv:2008.09835 
#title:A search for bottom-type, vector-like quark pair production in a fully hadronic final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV 
#luminosity 137 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan et al. CMS 
#Fig 11 lower 
#pp → BB →bH, bZ, doublet   
#Mass(GeV), obs(pb), exp(pb)
1000 0.0088484 0.010441
1100 0.010564 0.0075913
1200 0.0064357 0.0056463
1300 0.0040729 0.0042934
1400 0.0026047 0.0034015
1500 0.0029814 0.002711
1600 0.0038904 0.0023228
1700 0.002952 0.00205
1800 0.0020391 0.0023338

