#arXiv:2008.09835 
#title:A search for bottom-type, vector-like quark pair production in a fully hadronic final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV 
#luminosity 137 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan et al. CMS 
#Fig 11 upper left 
#pp → BB →bH    
#Mass(GeV), obs(pb), exp(pb)
1000 0.0040524 0.0047476
1100 0.0027529 0.0034563
1200 0.0025393 0.0026963
1300 0.0015975 0.0021093
1400 0.0010414 0.0017285
1500 0.0009048 0.0014218
1600 0.0015533 0.0012107
1700 0.0014524 0.0010978
1800 0.001414 0.0014295

