#arXiv:2008.09835 
#title:A search for bottom-type, vector-like quark pair production in a fully hadronic final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV 
#luminosity 137 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan et al. CMS 
#Fig 11 upper right 
#pp → BB →bZ    
#Mass(GeV), obs(pb), exp(pb)
1000 0.0069784 0.0095392
1100 0.013523 0.0071523
1200 0.0051518 0.0054162
1300 0.00465 0.0040934
1400 0.0036522 0.0033739
1500 0.0051618 0.0027032
1600 0.0043869 0.0023856
1700 0.002842 0.0021748
1800 0.0019531 0.0019794


