#arXiv:2402.13808
#title:A search for bottom-type vector-like quark pair production in dileptonic and fully hadronic final states in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Hayrapetyan and al. CMS Collaborations 
#Fig 18 lower left 
#pp → BB → bZ, bH  
#Mass(GeV), obs(pb), exp(pb)
1000 0.011761 0.0079728
1100 0.0097104 0.005535
1200 0.005572 0.004045
1300 0.0027266 0.0029956
1400 0.0020656 0.0022953
1500 0.0019672 0.001836
1600 0.0019288 0.0015067
1700 0.0018208 0.00128
1800 0.0016672 0.001115

