#arXiv:2402.13808
#title:A search for bottom-type vector-like quark pair production in dileptonic and fully hadronic final states in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Hayrapetyan and al. CMS Collaborations 
#Fig 18 lower left 
#pp → BB → bZ, bH, Wt  
#Mass(GeV), obs(fb), exp(fb)
1000 34.514 23.632
1100 26.094 16.276
1200 16.525 11.662
1300 7.8527 8.337
1400 5.5914 6.2226
1500 5.6422 4.9376
1600 4.8774 3.8387
1700 4.256 3.1739
1800 4.2017 2.6759

