#arXiv:2402.13808
#title:A search for bottom-type vector-like quark pair production in dileptonic and fully hadronic final states in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Hayrapetyan and al. CMS Collaborations 
#Fig 18 lower left 
#pp → BB → bZ, bH, Wt  
#Mass(GeV), obs(pb), exp(pb)
1000 0.034514 0.023632
1100 0.026094 0.016276
1200 0.016525 0.011662
1300 0.0078527 0.008337
1400 0.0055914 0.0062226
1500 0.0056422 0.0049376
1600 0.0048774 0.0038387
1700 0.004256 0.0031739
1800 0.0042017 0.0026759

