#arXiv:2402.13808
#title:A search for bottom-type vector-like quark pair production in dileptonic and fully hadronic final states in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Hayrapetyan and al. CMS Collaborations 
#Fig 18 upper right 
#pp → BB → bZ  
#Mass(GeV), obs(pb), exp(pb)
1000 0.0041888 0.0061028
1100 0.0040074 0.0044397
1200 0.0024072 0.0033996
1300 0.0013361 0.0025835
1400 0.0012517 0.0020465
1500 0.00177 0.0017344
1600 0.0015363 0.0014619
1700 0.0010707 0.001332
1800 0.0010845 0.0011913

