#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s} =$ 13 TeV at the CMS experiment
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Tumasyan and al. CMS Collaborations 
#Fig 39 lower left 
#pp → BB → tW, Zb, Hb, singlet
#Mass(GeV), obs(pb), exp(pb)
1100 0.004761467932442329 0.005809243775583098
1200 0.0037706129966589273 0.00470714389946142
1300 0.0025234421646084175 0.003932641748993191
1400 0.002215720369023682 0.0033490138494857652
1500 0.0021988352520875506 0.00289596974219789
1600 0.0019455237859466751 0.0024102372861573395
1700 0.0016695189854274884 0.0019830889412714697
1800 0.0013271609298029865 0.0016441704701060285


