#mT Tbq_01 Tbq_02 Tbq_03
800.0 0.675 0.65 0.631
800.5 0.6740975 0.6491225 0.6301325
801.0 0.6731950000000001 0.6482450000000001 0.629265
801.5 0.6722925000000001 0.6473675 0.6283975
802.0 0.67139 0.64649 0.62753
802.5 0.6704875 0.6456125 0.6266625
803.0 0.6695850000000001 0.6447350000000001 0.625795
803.5 0.6686825000000001 0.6438575 0.6249275
804.0 0.66778 0.64298 0.6240600000000001
804.5 0.6668775 0.6421025 0.6231925
805.0 0.6659750000000001 0.641225 0.622325
805.5 0.6650725000000001 0.6403475000000001 0.6214575
806.0 0.66417 0.63947 0.62059
806.5 0.6632675 0.6385925 0.6197225
807.0 0.6623650000000001 0.637715 0.618855
807.5 0.6614625000000001 0.6368375000000001 0.6179875
808.0 0.66056 0.63596 0.61712
808.5 0.6596575 0.6350825 0.6162525
809.0 0.6587550000000001 0.634205 0.615385
809.5 0.6578525000000001 0.6333275 0.6145175
810.0 0.65695 0.6324500000000001 0.61365
810.5 0.6560475 0.6315725 0.6127825
811.0 0.6551450000000001 0.630695 0.611915
811.5 0.6542425000000001 0.6298175 0.6110475
812.0 0.65334 0.62894 0.6101800000000001
812.5 0.6524375 0.6280625 0.6093125
813.0 0.6515350000000001 0.627185 0.608445
813.5 0.6506325000000001 0.6263075 0.6075775
814.0 0.64973 0.62543 0.60671
814.5 0.6488275 0.6245525000000001 0.6058425
815.0 0.6479250000000001 0.623675 0.604975
815.5 0.6470225000000001 0.6227975 0.6041075
816.0 0.64612 0.62192 0.60324
816.5 0.6452175 0.6210425 0.6023725
817.0 0.6443150000000001 0.620165 0.601505
817.5 0.6434125 0.6192875 0.6006375
818.0 0.64251 0.61841 0.59977
818.5 0.6416075 0.6175325 0.5989025
819.0 0.6407050000000001 0.6166550000000001 0.598035
819.5 0.6398025 0.6157775 0.5971675
820.0 0.6389 0.6149 0.5963
820.5 0.6379975 0.6140225 0.5954325
821.0 0.6370950000000001 0.613145 0.594565
821.5 0.6361925 0.6122675 0.5936975
822.0 0.63529 0.61139 0.59283
822.5 0.6343875 0.6105125 0.5919625
823.0 0.6334850000000001 0.609635 0.591095
823.5 0.6325825 0.6087575000000001 0.5902275
824.0 0.63168 0.60788 0.58936
824.5 0.6307775 0.6070025 0.5884925
825.0 0.6298750000000001 0.606125 0.587625
825.5 0.6289725 0.6052475 0.5867575
826.0 0.62807 0.6043700000000001 0.58589
826.5 0.6271675 0.6034925 0.5850225
827.0 0.6262650000000001 0.602615 0.584155
827.5 0.6253625 0.6017375 0.5832875
828.0 0.62446 0.6008600000000001 0.58242
828.5 0.6235575 0.5999825 0.5815525
829.0 0.6226550000000001 0.599105 0.580685
829.5 0.6217525 0.5982275 0.5798175
830.0 0.62085 0.59735 0.57895
830.5 0.6199475000000001 0.5964725 0.5780825
831.0 0.6190450000000001 0.595595 0.577215
831.5 0.6181425 0.5947175 0.5763475
832.0 0.61724 0.59384 0.57548
832.5 0.6163375 0.5929625000000001 0.5746125
833.0 0.6154350000000001 0.592085 0.573745
833.5 0.6145325 0.5912075 0.5728775
834.0 0.61363 0.59033 0.57201
