#mT Tbq_005 Tbq_01 Tbq_02 Tbq_03
600 0.8745 1.75 3.5 5.2
650 0.7070000000000001 1.41475 2.8225 4.1875
700 0.5395000000000001 1.0795 2.145 3.175
750 0.372 0.7442500000000001 1.4675000000000002 2.1624999999999996
800 0.2045 0.409 0.79 1.15
850 0.16985 0.33975 0.65525 0.9524999999999999
900 0.1352 0.27049999999999996 0.5205 0.7549999999999999
950 0.10054999999999999 0.20124999999999998 0.38575 0.5575
1000 0.0659 0.132 0.251 0.36
1050 0.055575 0.11125 0.2115 0.30274999999999996
1100 0.04525 0.0905 0.172 0.2455
1150 0.034925 0.06975 0.1325 0.18825
1200 0.0246 0.049 0.093 0.131
1250 0.020975 0.041825 0.079225 0.11175
1300 0.01735 0.03465 0.06545 0.0925
1350 0.013725000000000001 0.027475000000000003 0.05167499999999999 0.07324999999999998
1400 0.0101 0.020300000000000002 0.037899999999999996 0.054
1450 0.0087 0.017475 0.032625 0.046375
1500 0.007299999999999999 0.01465 0.02735 0.03875
1550 0.0059 0.011825 0.022075 0.031125
1600 0.0045 0.009 0.016800000000000002 0.0235
1650 0.0039 0.0078 0.014575000000000001 0.020375
1700 0.0033 0.0066 0.012350000000000002 0.01725
1750 0.0027 0.0054 0.010125000000000002 0.014125
1800 0.0021 0.004200000000000001 0.0079 0.011
