#arXiv:1202.3076 
#title:Search for Pair Production of a Heavy Up-Type Quark Decaying to a W Boson and a b Quark in the Lepton+Jets Channel with the ATLAS Detector 
#03401_ATLAS_1.04 fb-1 
#Energy 7000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 2  
#pp → tt→W^+bW^ar{b} 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
250.0 7.101939136685907 5.636057506886903
270.0 5.973934608002292 4.851947949179847
300.0 4.619845459368838 3.822036092474061
330.0 3.010741262103535 2.9968553606853225
350.0 2.256236381592459 2.591875592881081
400.0 1.4408026301110153 1.5300441617322342
422.0 1.393344434014149 1.4193486671864355
446.0 1.3485076158957632 1.206843123241342
470.0 1.1518709910476186 1.0214212624629273
496.0 0.9892426960271797 0.8772106696942923
