#arXiv:1504.04605 
#title:Analysis of events with b-jets and a pair of leptons of the same charge in $pp$ collisions at $\sqrt{s}=$8 TeV with the ATLAS detector 
#04605_ATLAS_20.3 fb-1 
#Energy 8000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 7b  
#pp → TT→bW, tH, Zt, singlet  
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
350.0 1.0262744043484937 0.5717810240210952
396.0 0.6173390768158874 0.3880036356015131
446.0 0.4336584585552316 0.2328477851134579
498.0 0.3189734231673609 0.1793719374844357
548.0 0.2282685455959619 0.12143296569925086
600.0 0.16328694764884943 0.09013302602845343
650.0 0.15300835798374948 0.08290488413229119
701.0 0.1342651377528002 0.07141027490740942
752.0 0.13417883026366267 0.06814056560642191
800.0 0.11347237834353043 0.05612575797711072
854.0 0.1072757173499189 0.055487810995774774
