#arXiv:1505.04306 
#title:Search for production of vector-like quark pairs and of four top quarks in the lepton-plus-jets final state in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector 
#04306_ATLAS_20.3 fb-1 
#Energy 8000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig18-c 
#pp → TT → Ht+X, Doublet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
350.0 0.15919004278970178 0.18189816399710862
450.0 0.05671948406115956 0.07457703719253093
500.0 0.04530366805529025 0.0543806181981417
600.0 0.03619067354456356 0.040208418754766516
650.0 0.02752477717737883 0.03167263892910303
800.0 0.01683837102100851 0.02391669523481219
950.0 0.011853231740943061 0.015262573489840135
1000.0 0.009876162020759494 0.012985571264143536
1050.0 0.011366083663323912 0.014226083210175551
1100.0 0.009336928451815076 0.012804570515875508
