#arXiv:1803.09678 
#title:Search for pair production of up-type vector-like quarks and for four-top-quark events in final states with multiple $b$-jets with the ATLAS detector 
#09678_ATLAS_36.1 fb-1 
#Energy 13000 GeV 
#M.~Aaboud \textit{et al.} [ATLAS] 
#Fig 17b 
#pp → TT→Wb, Zt, Ht, Singlet
#Mass(GeV), obs(pb), exp(pb)  
700.0 0.04959292707820492 0.0642679959339427
800.0 0.03186984928434088 0.045257168981514814
900.0 0.023853981311258245 0.03413337864735446
950.0 0.020168970356528225 0.030444849424845415
1000.0 0.01854651858741936 0.02694867100998365
1100.0 0.015563551680713182 0.02227035376961274
1200.0 0.013567823162104468 0.01986376954238159
1300.0 0.011918529253137142 0.017582684773567194
1400.0 0.011472749665522973 0.016542340316868784
1500.0 0.011299141768018946 0.016925053131185863
