#arxiv:1806.10555
#tittle:Search for pair and single production of vectorlike quarks in final states with at least one Z boson decaying into a pair of electrons or muons in p p collision data collected with the ATLAS detector at $\sqrt{s}=$13 TeV
#10555_ATLAS_36.1 fb-1
#Energy 13000 GeV
#M.~Aaboud \textit{et al.}[ATLAS]
#Fig 13(e)
#pp$\rightarrow$$T\overline{T}$ Zt
#Mass(GeV), obs(pb), exp(pb)
500 0.042493698 0.05455996
600 0.023605188 0.028391812
700 0.0153872355 0.0182336245
750 0.013894028 0.0152017335
800 0.011804832 0.012956502
850 0.0109412292 0.01111572
900 0.01000035 0.00990216
950 0.0091832832 0.0085816848
1000 0.0089292432 0.008011896
1050 0.0083557925 0.0074020488
1100 0.007290985 0.0068803751
1150 0.007284284 0.0064766597
1200 0.0058380894 0.005833854
1300 0.00485142506 0.00520801836
1400 0.005034435 0.00552412

