#arXiv:2201.07045
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector 
#07045_ATLAS_139 fb-1 
#Energy 13000 GeV 
#A.~Georges \textit{et al.} [ATLAS] 
#Fig8d 
#pp → TT→ Ht, k_T=0.7, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.1510659780052228 0.19857138578719502
1100.0 0.07867438076599402 0.10441190029805628
1200.0 0.06370399471182163 0.08535913392913658
1300.0 0.05704925797046321 0.07905269254862725
1400.0 0.05787619883491209 0.07717915155850119
1500.0 0.06279378572235256 0.07829787941891028
1600.0 0.07498942093324551 0.08912509381337459
1700.0 0.08333613090239542 0.09350467678261196
1800.0 0.08413951416451947 0.0939543011789371
1900.0 0.09128862519634923 0.09952144352021818
2000.0 0.09350467678261166 0.10441190029805637
2100.0 0.09763000989628066 0.11274137659327856
2200.0 0.10797751623277083 0.12710617996147444
2300.0 0.1111305166319127 0.13790605446038762
