#arXiv:2201.07045
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector 
#07045_ATLAS_139 fb-1 
#Energy 13000 GeV 
#A.~Georges \textit{et al.} [ATLAS] 
#Fig8e 
#pp → TT→ Ht, k_T=0.9, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.1624232320158075 0.22008608882755495
1100.0 0.10107171376480611 0.14140441289304656
1200.0 0.08567820719604738 0.12115276586285889
1300.0 0.0778401570879359 0.11124904621939379
1400.0 0.084769718454978 0.11065765980313083
1500.0 0.08941057521594807 0.11065765980313083
1600.0 0.1038015177597223 0.12310559109968455
1700.0 0.11184359317505331 0.13264325942130042
1800.0 0.10774755089221966 0.1291549665014884
1900.0 0.11244131756094244 0.13264325942130042
2000.0 0.11425372556525924 0.13550160657198076
2100.0 0.11609534723271463 0.14368366837788338
2200.0 0.12710617996147444 0.15984671064343198
2300.0 0.12984520785412287 0.16504128356641198
