#arXiv:2210.15413
#title: Search for pair-production of vector-like quarks in $pp$ collision events at $\sqrt{s}=13$ TeV with at least one leptonically decaying $Z$ boson and a third-generation quark with the ATLAS detector 
#15413_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig7-a 
#pp → TT→bW_Zt_Ht, Singlet  
#Mass(GeV), obs(pb), exp(pb) 
800 0.020192719161709973 0.027028265839051623
900 0.015777999866581145 0.017916235122600727
1000 0.01187614044052095 0.01214550520402733
1100 0.009552838823184848 0.009633103662094751
1200 0.008139468119832158 0.00807764510283809
1300 0.007259841720978696 0.007149976851729601
1400 0.0062330697492061935 0.006151216869867202
1500 0.005539958271398716 0.005708125414038498
1600 0.005218341147110974 0.005498696382967042
1700 0.00502688212142945 0.005179474679231213

