#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in $pp$ collision at $\sqrt{s}=$ 13 TeV with the ATLAS detector 
#03401_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 12a
#pp → Tqt→Zt, Ht, doublet, k=0.2 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.07205802513369304 0.08450511533215811
1100.0 0.06142947583169509 0.0695387258898898
1200.0 0.06252729704352193 0.053787389534929106
1300.0 0.03808070187715756 0.03980494778272796
1400.0 0.031062558171176428 0.03304929344175735
1500.0 0.024455908625194978 0.022985758701251545
1600.0 0.018096951686361936 0.02048591406197872
1700.0 0.01716037957888109 0.01959851801171777
1800.0 0.019425705909842276 0.01809695168636199
1900.0 0.01716037957888109 0.016563083782117956
2000.0 0.08259413229156556 0.01584689031812952
2100.0 0.01762244478381607 0.015568658999084387
2300.0 0.01613009397723938 0.015160444605495845
