#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in $pp$ collision at $\sqrt{s}=$ 13 TeV with the ATLAS detector 
#03401_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~ Aad \textit{et al.} [CMS] 
#Fig 12b 
#pp → Tqt→Zt, Ht, doublet, k=0.4 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.10685552747564538 0.09816459682482322
1100.0 0.07703564609381132 0.07750385565200563
1200.0 0.054207596346025136 0.058650359257533716
1300.0 0.0477306108540072 0.05010137258854297
1400.0 0.03318197682286028 0.040773307249063334
1500.0 0.02684089495978727 0.035041804808471695
1600.0 0.02733327868234343 0.028865290982373604
1700.0 0.02651757675485465 0.028003869498127863
1800.0 0.024657831881888168 0.026517576754854673
1900.0 0.01735095199686944 0.022379461079544194
2000.0 0.019945715682071354 0.02306787125018325
2100.0 0.02392197281325971 0.02349104060927609
2200.0 0.024213643857711922 0.02392197281325971
2300.0 0.02406736649644365 0.024213643857711922
