#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in $pp$ collision at $\sqrt{s}=$ 13 TeV with the ATLAS detector 
#03401_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~ Aad \textit{et al.} [CMS] 
#Fig 12c 
#pp → Tqt→Zt, Ht, doublet, k=0.6 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.07014093711885798 0.09730869734467602
1100.0 0.07014093711885798 0.0817188553717667
1200.0 0.07287175714195929 0.07208085097513185
1300.0 0.06323359412257198 0.05954996582570256
1400.0 0.043871258696146484 0.05457161727432399
1500.0 0.03786160777557889 0.04658503707891517
1600.0 0.03827704375712751 0.04387125869614655
1700.0 0.035077101276940324 0.042458249551025985
1800.0 0.047612953090173944 0.0433951064746256
1900.0 0.042690550345933 0.0445953009944386
2000.0 0.03827704375712731 0.04222721282179337
2100.0 0.03869703810439011 0.04411129045384853
