#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in pp collisions at $\sqrt{s}=$13 TeV with the ATLAS detector
#Luminosity 139 fb-1 
#Energy 13000 GeV 
#G.~Aad et al. ATLAS Collaborations 
#Fig 13a  
#pp → Tqt→ Ht(Zt)bq, k_T, Singlet  
#Mass_obs(GeV), Mass_exp(GeV), obs(pb), exp(pb) 
1020.0 1020.0  0.32622659273982646 0.35172413793103474
1100.0 1100.0 0.3220525159535519 0.36896551724137994
1200.0 1200.0 0.3715032953237787 0.38620689655172424
1300.0 1300.0 0.3462286850088925 0.3896551724137929
1400.0 1400.0 0.3220525159535512 0.39195402298850635
1500.0 1500.0 0.30886075949367053 0.41034482758620716
1600.0 1600.0 0.29677790563866546 0.43908045977011456
1700.0 1700.0 0.3022701119363953 0.49080459770114926
1800.0 1800.0 0.3462286850088927 0.5379310344827577
1900.0 1850.0 0.38578303169787653 0.5931034482758606
1940.0 1890.0 0.40512605921121514 0.6448275862068973
2000.0 NaN 0.433047389894341 NaN
2050.0 NaN 0.5013157894736833 NaN
2100.0 NaN 0.5855263157894748 NaN

