#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 8a 
#pp → T→Wb, Zt, Ht, singlet, k=0.3
#Mass(GeV), obs(pb), exp(pb) 
1000.0 0.028417175005048624 0.027428135511332344 
1100.0 0.025779424002309786 0.024016182701606225 
1200.0 0.01641040742039852 0.01874181605442067 
1300.0 0.014369016904311673 0.016122302136814592 
1400.0 0.011721022975334878 0.01338621589006413 
1500.0 0.011114465808591314 0.011114465808591337 
1600.0 0.011515245716934503 0.010354267087812714 
1800.0 0.010172484943151908 0.008080292007653195 
1900.0 0.009731869721133641 0.007938432347459027 
2000.0 0.010633049237592786 0.008224686697726025 
2100.0 0.009393158941466357 0.00688963614325222 
2200.0 0.009066236748735534 0.006709000510678699 
2400.0 0.008446131230633461 0.006361813038219881 
2500.0 0.007868439214873908 0.00603259234648203 
2710.0 0.007931162899668845 0.00613477174240681 
