#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 8b 
#pp → T→ Zt, Ht, doublet, k=0.3
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000 0.023904090382267176 0.021372784710925245
1050 0.021717286242256228 0.01988891588879679
1100 0.019417550550495287 0.01778279410038928
1150 0.017641185951230095 0.016027327492032086
1200 0.016416394415056556 0.014795814878310748
1250 0.015034304197873317 0.013229023190584466
1300 0.013550160657198076 0.011828145730152713
1350 0.01291549665014888 0.011184359317505378
1400 0.012310559109968493 0.010491397291363112
1450 0.011923091831251804 0.009763000989628108
1500 0.01173395570493077 0.009012828581129019
1550 0.011547819846894606 0.00865964323360068
1600 0.011184359317505353 0.008254041852680206
1650 0.010660504989847932 0.007742636826811294
1700 0.01024275221381593 0.007379986299046455
1750 0.010491397291363102 0.007379986299046447
1800 0.010660504989847932 0.007439226431967121
1850 0.01000000000000005 0.006812920690579636
1900 0.009608130406177015 0.0064421046834807144
1950 0.010080271331842828 0.006704847260752359
2000 0.010575613134710119 0.0070343216390460605
2050 0.01057561313471013 0.007034321639046067
2100 0.010660504989847932 0.006978305848598663
2150 0.010407852076582031 0.006978305848598678
2200 0.010324972150009869 0.006978305848598678
2250 0.010080271331842859 0.006867608912336889
2300 0.01008027133184289 0.006812920690579629
2350 0.01000000000000001 0.006704847260752352
2400 0.009841369898850127 0.006651455144438646
2450 0.009608130406177006 0.006493816315762127
2500 0.009455716536357675 0.0064421046834807144
2550 0.009455716536357675 0.006390804841860323
2600 0.009380418666398134 0.0063399135117248534
2650 0.009380418666398145 0.006289427440010983
2690 0.009608130406177006 0.006289427440010989

