#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 8c 
#pp → T→ Wb, Zt, Ht, singlet, k=0.5 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.033054513475732517 0.03025305457102458 
1100.0 0.028729848333536687 0.026489692876105322 
1200.0 0.017265513014575424 0.019864467294786588 
1300.0 0.016396214443236534 0.017914518019745408 
1400.0 0.01467799267622072 0.014786718150557203 
1500.0 0.01313982991312119 0.012757607330635152 
1600.0 0.013633751835597447 0.01202619399337045 
1700.0 0.012478254704700233 0.010765923315324534 
1800.0 0.011937766417144394 0.009709111468707564 
1900.0 0.011336713712678513 0.009426684551178864 
2000.0 0.01257068588323992 0.009781030550090618 
2100.0 0.011505286450519696 0.009220268958114765 
2200.0 0.01142068906292002 0.008886238162743417 
2400.0 0.010608183551394505 0.008438826369480805 
2480.0 0.010223871552990276 0.008193350588635781 
