#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 8e 
#pp → T→ Wb, Zt, Ht, singlet, k=0.7 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.03327998914223688 0.03003289437318348 
1100.0 0.024819592164558504 0.02392605374847534 
1150.0 0.021750527804485727 0.02143385919479847 
1200.0 0.01892170407139493 0.019628350878398253 
1300.0 0.01540949021768609 0.015752243320115277 
1400.0 0.015185141554192124 0.014111452263500414 
1500.0 0.013603421163691795 0.012097419199403459 
1600.0 0.011834191424303829 0.010219845313777 
1650.0 0.011408144751546731 0.009779936662075465 
1700.0 0.010997436327163303 0.009222705377310353 
1780.0 0.011029462787671356 0.009048302234564943 
