#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#Luminosity 139 fb-1 
#Energy 13000 GeV 
#G.~Aad et al. ATLAS Collaborations 
#Fig 9a 
#pp → Tbq→Ztbq, k_T, T Singlet 
#Mass_obs(GeV), Mass_exp(GeV) obs(pb), exp(pb)
1000.0 1000.0 0.2180154564012825 0.21129032258064506
1100.0 1100.0 0.24342373869932943 0.2427419354838709 
1200.0 1200.0 0.23152522601341485 0.24435483870967722
1300.0 1300.0 0.2394502770487028 0.2612903225806441
1400.0 1400.0 0.2585010207057449 0.28225806451612845
1500.0 1500.0 0.28947214931466936 0.2943548387096776 
1600.0 1600.0 0.34580781568970576 0.3427419354838708
1700.0 1700.0 0.39898658501020756 0.3725806451612903
1800.0 1800.0 0.4807305336832901 0.4137096774193556 
1875.0 1875.0 0.5368620589093032 0.467741935483872 
1900.0 1900.0 0.5919718798819649 0.4854838709677419
1950.0 1950.0 0.6334220584220585 0.5298387096774193
NaN 2000.0 NaN 0.575
NaN 2020.0 NaN 0.6096774193548387
                      
