#arXiv:2402.16561 
#title:Search for invisible particles produced in association with single top quarks in proton–proton collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#Luminosity 139 fb-1 
#Energy 13000 GeV 
#G.~Aad et al. ATLAS Collaborations
#Fig 12a 
#pp → Tqb→ Ztqb, k_T, singlet 
#Mass_obs(GeV), Mass_exp(GeV), obs(pb), exp(pb)
1000 1000.0 0.38738325413730945 0.34485981308411207
1100.0 1100.0 0.3700802883827623 0.3299065420560745
1200.0 1200.0 0.36557430771751576 0.3261682242990658
1300.0 1300.0 0.3448631820416188 0.3205607476635517
1500.0 1400.0 0.3529739472390627 0.3233644859813083
1600.0 1500.0 0.376388661314107 0.3373831775700935
1700.0 1600.0 0.43224643617892755 0.3579439252336456
1800.0 1700.0 0.5232344748484344 0.4065420560747677
1900.0 1800.0 0.6495048514554363 0.49252336448598155
NaN 1900.0 NaN 0.5775700934579436
NaN 1950.0 NaN 0.6224299065420563

