#arXiv:2402.16561 
#title:Search for invisible particles produced in association with single top quarks in proton–proton collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#16561_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 12a 
#pp → T→ Wb, zt, Ht, singlet 
#Mass(GeV), obs(pb), exp(pb)
#mass (GeV) obseved (pb) expected (pb) 
1000 0.38738325413730945 0.38738325413730945 
1100.0 0.3700802883827623 0.3700802883827623 
1200.0 0.36557430771751576 0.36557430771751576
1300.0 0.3448631820416188 0.3448631820416188
1500.0 0.3529739472390627 0.3529739472390627 
1600.0 0.376388661314107 0.376388661314107
1700.0 0.43224643617892755 0.43224643617892755 
1800.0 0.5232344748484344 0.5232344748484344
1900.0 0.6495048514554363 0.6495048514554363

