#arXiv:2408.08789
#title:Combination of searches for singly produced vector-like top quarks in $pp$ collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G Aad show all.ATLAS Collaborations 
#Fig6a
#pp → Tbq → Ht/Zt, singlet
#Mass_obs(GeV), Mass_exp(GeV), obs(pb), exp(pb)
1000 1000 0.20759493670886064 0.2082278481012657
1100 1100 0.22405063291139204 0.22405063291139227
1200 1200 0.2215189873417721 0.22721518987341804
1300 1300 0.22088607594936693 0.2329113924050631
1400 1400 0.23354430379746816 0.2443037974683544
1600 1600 0.2626582278481012 0.2765822784810127
1800 1800 0.3341772151898734 0.33481012658227816
2000 2000 0.4202531645569624 0.4202531645569618
2100 2100 0.4848101265822786 0.47341772151898753
2140 2140 0.5708860759493671 0.5265822784810128
NaN 2160 NaN 0.5658227848101266

