#arXiv:2408.08789
#title:Combination of searches for singly produced vector-like top quarks in $pp$ collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G Aad show all.ATLAS Collaborations 
#Fig6b
#pp → Tbq → Ht/Zt, doublet
#Mass_obs(GeV), Mass_exp(GeV), obs(pb), exp(pb)
1000 1000 0.41772151898734156 0.4341772151898732
1100 1100 0.4373417721518986 0.441772151898734
1200 1200 0.4430379746835441 0.45569620253164544
1300 1300 0.46898734177215173 0.47784810126582267
1400 1400 0.5044303797468352 0.4999999999999999
1500 1500 0.5284810126582278 0.5265822784810125
1600 1600 0.6094936708860756 0.5797468354430377
1660 1660 0.7310126582278478 0.6455696202531643
NaN 1700 NaN 0.713924050632911

