#arXiv:2409.20273
#title:Search for single-production of vector-like quarks decaying into Wb in the fully hadronic final state in $pp$ collisions at $\sqrt{s}​=$13 TeV with the ATLAS detector
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G Aad show all.ATLAS Collaborations 
#Fig5a 
#pp → T(Y)bq → Wbbq, k= 0.5
#Mass(GeV), obs(pb), exp(pb) 
1000 0.197048731485615 0.21932355227333186
1100 0.11330878062213165 0.14290214893929482
1200 0.09394382028230398 0.1174268583450931
1300 0.09228184717621268 0.09911149589308997
1400 0.10180097511801865 0.08071918051887916
1500 0.09911149589309007 0.06231228015414779
1600 0.08515939318253854 0.05212598366170586
1700 0.06632930188158993 0.044788115623459995
1800 0.04600348126200255 0.039176285485563955
1900 0.038141287482832346 0.03780240057711875
2000 0.03814128748283227 0.03814128748283211
2100 0.036152599901104844 0.03647669685068859
2200 0.03426760253433162 0.034884753529516394
2300 0.0305137879623143 0.03162277660168389
2400 0.026929764661463674 0.030787334695491917
2500 0.023555537752607342 0.02815868717505635
2600 0.020239582533031684 0.024411636765753374
2700 0.018022455152500023 0.022729461532580163

