#ATLAS-CONF-2016-032
#title:Search for new phenomena using events with b-jets and a pair of same-charge leptons in 3.2 fb$^{−1}$ of $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#2016-032_ATLAS_3.2 fb-1 
#Energy 13000 GeV 
#ATLAS Collaboration [ATLAS] 
#Fig 6b  
#pp → TT→Wb, Ht, Zt, Singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
500 0.35596055002046223 0.5357620684224856
600 0.30290637331055753 0.45103018464247524
750 0.21699443598788543 0.3373163429076695
800 0.22898818989855502 0.3637036533920674
850 0.21699443598788498 0.3483822941813568
900 0.21934184656456557 0.3637036533920674
950 0.21237471239356046 0.3373163429076695
1000 0.20785334084218443 0.3337063616686579
1050 0.21237471239356046 0.3409653763375999
1100 0.22171465104773105 0.3483822941813568
1150 0.20342822745862466 0.326601888479938
1200 0.2146721475504683 0.3337063616686579
1300 0.2146721475504683 0.3483822941813568
1400 0.20785334084218401  0.3483822941813561

