#ATLAS-CONF-2016-072 
#title:Search for single production of vector-like quarks decaying into Wb in $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#2016-072_ATLAS_3.2 fb-1 
#Energy 13000 GeV 
#ATLAS Collaboration 
#Fig 10a  
#pp → Tqb→Wb, singlet 
#Mass(GeV), obs1(pb), obs2(pb) 
700 0.5033905228758169 0.5033905228758169
800 0.43373161764705936 0.43373161764705936
850 0.38766339869281086 0.38766339869281086
900 0.34271854575163374 0.34271854575163374
1000 0.32586805555555554 0.32586805555555554
1100 0.3483353758169927 0.3483353758169927
1200 0.40676062091503185 0.40676062091503185
1300 0.5393484477124174 0.5393484477124174
1400 0.6056372549019591 0.6056372549019591
1500 0.7157475490196075 0.7157475490196075
1600 0.6640624999999987 0.6640624999999987

