#ATLAS-CONF-2016-072 
#title:Search for single production of vector-like quarks decaying into Wb in $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#Luminosity 3.2 fb-1 
#Energy 13000 GeV 
#ATLAS Collaboration 
#Fig 10a  
#pp → Tqb→Wbqb, s_L, singlet 
#Mass_obs(GeV), obs(pb), exp(pb) 
700 0.5033905228758169 0.44395604395604393
800 0.43373161764705936 0.4109890109890111
850 0.38766339869281086 0.38681318681318655
900 0.34271854575163374 0.3582417582417583
1000 0.32586805555555554 0.38021978021977976
1100 0.3483353758169927 0.42087912087912116
1200 0.40676062091503185 0.4560439560439564
1300 0.5393484477124174 0.5393484477124174
1400 0.6056372549019591 0.5912087912087916
1500 0.7157475490196075 0.6813186813186815
1600 0.6640624999999987 0.6747252747252752

