#ATLAS-CONF-2016-104 
#title:Search for new phenomena in $tar{t}$ final states with additional heavy-flavour jets in 13.2 fb$^{−1}$ of $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#2016-104_ATLAS_13.2 fb-1 
#Energy 13000 GeV 
#ATLAS Collaboration 
#Fig 15a  
#pp → Tar{T}→tH 
#Mass(GeV), obs(pb), exp(pb)  
600 0.1027410280499879 0.08764611458397517
700 0.07729452918459864 0.05515322413603057
750 0.06771611074340204 0.04552590821924148
800 0.05371301806416113 0.03684069539005918
850 0.04177454528248559 0.0322753581037951
900 0.028648168055486752 0.024932582720035387
950 0.02560109955850246 0.023182808956446765
1000 0.02127253118954779 0.021272531189547618
1050 0.018884613223672346 0.019779620592255923
1100 0.014396556252058336 0.017911229335029828
1200 0.011271030675526967 0.014979442263917031
1300 0.008479465565267305 0.013654503675089273
1400 0.007780752368995506 0.01420734555280887


