#ATLAS-CONF-2016-104 
#title:Search for new phenomena in $tar{t}$ final states with additional heavy-flavour jets in 13.2 fb$^{−1}$ of $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#2016-104_ATLAS_13.2 fb-1 
#Energy 13000 GeV 
#ATLAS Collaboration 
#Fig 16b  
#pp → T\bar{T}→Ht+X, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
600 0.20898828939796643 0.18678477062314414
700 0.14405773606943376 0.12002405428472818
800 0.08751312065198186 0.08690092320062195
850 0.07240292266287758 0.07498942093324558
900 0.05865333121860826 0.06702232851672373
1000 0.040147502755748604 0.054294532443637314
1100 0.032523338701356874 0.04751483968482985
1150 0.028065367388560924 0.0439837934388928
1200 0.02579796004822233 0.0418746528353722
1300 0.021951460202347017 0.03903582969812255
1400 0.02060745642756776 0.03716395719756606

