#arXiv:1209.0471 
#title:Search for pair produced fourth-generation up-type quarks in pp collisions at $\sqrt{s} =$ 7 TeV with a lepton in the final state 
#0471_CMS_4.9 fb-1 
#Energy 7000 GeV 
#S.~Chatrchyan \textit{et al.} [CMS] 
#Fig 6 middle
#pp → tt→bW→$\mu$jetsbqqb 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
400.0 0.744904845345435 0.5172504348643615
425.0 0.31068900543314004 0.37531198392436893
450.0 0.2304406681421289 0.27593122445688095
475.0 0.28706210183541186 0.2355595951387053
500.0 0.1679387330972624 0.1984612608731655
525.0 0.16001444553857838 0.18096415630818707
550.0 0.1439988946352635 0.16001444553857855
575.0 0.14526996361695013 0.14463303282634196
600.0 0.11358188840998154 0.11508907222085434
625.0 0.10131744462136007 0.11508907222085439
