#arXiv:1209.0471 
#title:Search for pair produced fourth-generation up-type quarks in pp collisions at $\sqrt{s} =$ 7 TeV with a lepton in the final state 
#0471_CMS_5.0 fb-1 
#Energy 7000 GeV 
#S.~Chatrchyan \textit{et al.} [CMS] 
#Fig 6 upper
#pp → tt→bW →$ell$jetsbqqb
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
400.0 0.46068471594050353 0.4586013195846001
425.0 0.4733853653044221 0.38955533668128983
450.0 0.3049790067657609 0.3339181491034336
475.0 0.4544627500611416 0.2981449282996277
500.0 0.3557943764972176 0.27603417814346576
525.0 0.30222677564737066 0.21610441843971454
550.0 0.29411821001096494 0.20281711062689503
575.0 0.23026222750544534 0.1810889676651345
600.0 0.21318573181655115 0.16918600436825176
625.0 0.18273805613831004 0.1476757944098016
