#arXiv:1612.00999 
#title:Search for single production of a heavy vector-like T quark decaying to a Higgs boson and a top quark with a lepton and jets in the final state 
#00999_CMS_2.3 fb-1 
#Energy 13000 GeV 
#V.~Khachatryan \textit{et al.} [CMS] 
#Fig10 rightt 
#pp → TT →  tH, RH 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 5.764179345308094 3.7097783653975323
800.0 2.279641959496253 1.541730423064226
900.0 0.9216484038652245 1.006568138838186
1000.0 0.766759429954713 0.71771280997323
1100.0 0.7566961746892321 0.5776908077276133
1200.0 0.48326092029275736 0.4424903179951134
1400.0 0.2804262679648396 0.3183047938885256
1500.0 0.22947503023423121 0.26191012748791187
1700.0 0.14623210259548117 0.21503470385378481
1800.0 0.13508016617724178 0.20418285021752325
