#arXiv:1701.07409 
#title:Search for single production of vector-like quarks decaying to a Z boson and a top or a bottom quark in proton-proton collisions at $\sqrt{s=}$ 13 TeV 
#07409_CMS_2.3 fb-1 
#Energy 13000 GeV 
#A.~ M.~Sirunyan \textit{et al.} [CMS] 
#Fig 4 left
#pp → Tb→Zt, singlet LH 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.9578189441667354 0.928783386697753
800.0 0.49262150759398005 0.6186483376250882
900.0 0.38986037025490755 0.5817091329374361
1000.0 0.2727902708454174 0.44366873309786137
1100.0 0.2158860592854685 0.36433200699889634
1200.0 0.1761932655504435 0.3047594767513796
1300.0 0.1606506003853727 0.28305553894538155
1400.0 0.14468643217083163 0.2533630716140029
1500.0 0.14829380021071853 0.24872642353097335
1600.0 0.1510582277078505 0.24267594974416523
1700.0 0.15578059883829107 0.23677265868336342
