#arXiv:1701.07409 
#title:Search for single production of vector-like quarks decaying to a Z boson and a top or a bottom quark in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#07409_CMS_2.3 fb-1 
#Energy 13000 GeV 
#A.~ M.~Sirunyan \textit{et al.} [CMS] 
#Fig 4 right
#pp → Tt→Zt, doublet RH 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.6032999420634575 0.6154656280067428
800.0 0.3638145840508156 0.46849687029872006
900.0 0.30398028814771133 0.441260581853931
1000.0 0.22681814394290928 0.3590043886116976
1100.0 0.18825778162800785 0.3039802881477107
1200.0 0.1615395796134826 0.2863082494759427
1300.0 0.13953884803095823 0.2556824467725406
1400.0 0.14522325736691627 0.2643332408926854
1500.0 0.1461929222145108 0.2539865624778228
1600.0 0.15113923310860705 0.255682446772539
1700.0 0.16479706342206135 0.2660982106116669
