#arXiv:1706.03408 
#title:Search for pair production of vector-like T and B quarks in single-lepton final states using boosted jet substructure in proton-proton collisions at  $\sqrt{s}=13$ TeV 
#04721_CMS_2.3 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 11 left 
#pp → TT →bW 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.11998919948131558 0.162465091982561
800.0 0.08939693045034997 0.1269340818924277
900.0 0.08710526604367584 0.11998919948131564
1000.0 0.08163715855007081 0.10722817956754092
1100.0 0.07015513248972838 0.09498988327501348
1200.0 0.0657451863093292 0.09335950857642482
1300.0 0.06268841201458732 0.08635450778158035
1400.0 0.06055495346269345 0.08127729167001238
1500.0 0.05798994304752704 0.0771636624579276
1600.0 0.05601638627774005 0.07583925107237398
1700.0 0.05434469973077541 0.07325823340786627
1800.0 0.05951560842303325 0.0735693947880318
