#arXiv:1706.03408 
#title:Search for pair production of vector-like T and B quarks in single-lepton final states using boosted jet substructure in proton-proton collisions at  $\sqrt{s}=13$ TeV 
#04721_CMS_2.3 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 12 right 
#pp → TT → Zt, tH, Doublet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.3656425525297872 0.3300753798609016
800.0 0.1832537765450857 0.22391764475074183
900.0 0.12169662445884308 0.15584177986928727
1000.0 0.09382481456828728 0.11711490814153375
1100.0 0.08220569420629201 0.09184364999557997
1200.0 0.07516466927878986 0.07452639561343104
1300.0 0.06585783260011245 0.05945163920855977
1400.0 0.06337837265133948 0.05164804452646165
1500.0 0.0560064957144826 0.04525301984541144
1600.0 0.04949208114686519 0.0384838516844102
1700.0 0.04448773543167385 0.03594590857157236
1800.0 0.03815705946530738 0.03343247910076097
