#arXiv:1708.01062 
#title:Search for single production of a vector-like T quark decaying to a Z boson and a top quark in proton-proton collisions at $\sqrt{s}$ = 13 TeV 
#01062_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 5 left 
#pp → Tbq →tZbq, Singlet LH  
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.2692493481144226 0.1992111024944919
800.0 0.1411824872517416 0.11082574050261021
900.0 0.10389706005408439 0.08794571926814965
1000.0 0.10558752363794986 0.07483071487127571
1100.0 0.07245380577350867 0.0623218937794397
1200.0 0.06034231257980455 0.05656979006387617
1300.0 0.08423290199819258 0.05360682441440348
1400.0 0.06576656024673688 0.04052516147053318
1500.0 0.05969652526201878 0.036001689733768834
1600.0 0.06436641683427469 0.0379915813412164
1700.0 0.046110466956713864 0.03130222589507088
