#arXiv:1708.01062 
#title:Search for single production of a vector-like T quark decaying to a Z boson and a top quark in proton-proton collisions at $\sqrt{s}$ = 13 TeV 
#01062_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 5 right 
#pp → Ttq →tZtq, Doublet RH  
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.14764497062128232 0.11593110106673653
800.0 0.10058630859079253 0.08636373791933256
900.0 0.0910251875353902 0.08023599057031197
1000.0 0.08456669737444937 0.06640192550374767
1100.0 0.0567139921123197 0.0567139921123197
1200.0 0.059149944258711666 0.05324686421187827
1300.0 0.0726092466367634 0.0489514763175501
1400.0 0.06201567514493936 0.03843504694546279
1500.0 0.05731341001880098 0.03704642543470068
1700.0 0.0413703912386594 0.03387934864827006
