#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 6 middle left
#pp → TT→tH 
#Mass(GeV) obs(pb) exp(ob)
700.0 0.1444869536213934 0.2943448301047265
800.0 0.06742105303294119 0.12378967429680252
900.0 0.04456130393434501 0.06334840261922937
1000.0 0.022393966561913933 0.03676281875979634
1100.0 0.013674346651574697 0.02122652040510849
1200.0 0.00910156157908477 0.015182319759430758
1300.0 0.007362494605034117 0.011612925935690025
1400.0 0.00483920668046323 0.006990309314076801
1500.0 0.0048008645785556844 0.005770063156809053
1600.0 0.0037405179641406563 0.004459853918289586
1700.0 0.00366440233840478 0.004809043518625828
1800.0 0.0028444149719247056 0.0032325742677160145
