#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 6 upper left
#pp → TT→tZ 
#Mass(GeV) obs(pb) exp(ob)
700.0 0.15082450850743598 0.25655586291224064
800.0 0.05851587583890686 0.11505477585017262
900.0 0.026133864986026666 0.053066080290079504
1000.0 0.014941700189946285 0.03288284981889027
1100.0 0.009588127971339207 0.017819500154970077
1200.0 0.0070391756032519535 0.012671538537365688
1300.0 0.005574957333460441 0.008963597109865287
1400.0 0.0029760676495592044 0.0051860851524424345
1500.0 0.0031605775154467833 0.004396289771203671
1600.0 0.0021519988063384435 0.0029693834503126313
1700.0 0.002694200294968314 0.0030892651759868964
1800.0 0.0015809396441928733 0.0019495273696445196
