#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig10 upper row left 
#pp → Ttq → tHtq, Γ/m_T≤0.05 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.5168547225886742 0.2437730830289492
800.0 0.1453605852674059 0.18475871933155494
900.0 0.10557201932751795 0.1525029760792885
956.0 0.10310600376894963 0.14735472316589232
966.0 0.16402050939752635 0.14203755509647806
1100.0 0.18974838382702824 0.09045333908949721
1200.0 0.13708367855623615 0.07041044129603119
1500.0 0.03392287983386208 0.034469628224455574
1700.0 0.03674617514726068 0.026547266229419823
1800.0 0.027119290233145625 0.025035651195583233
2000.0 0.021109145555928303 0.02022896924530048
2200.0 0.029376344038509992 0.017610564898961574
2400.0 0.026831753907864776 0.016696560007166173
2600.0 0.0316521010883793 0.014770341896666334
