#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig11 upper row left 
#pp → Ttq → tHtq, Γ/m_T=0.2 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
800.0 0.32391357531059967 0.35390825131197
880.0 0.25872720997967913 0.31763410367822353
886.0 0.6158711757518437 0.31330520599275236
1000.0 0.3393689187682504 0.23156886229002077
1400.0 0.15293899028737487 0.07853161601578851
1600.0 0.10338980894581712 0.06456903435783255
1800.0 0.06249629203675883 0.05614299109611251
2000.0 0.06396990540405348 0.05114576944629189
2200.0 0.07744112615998604 0.051145769446292
2400.0 0.12633458765905722 0.051624790184950586
2600.0 0.09914232726568596 0.04973521132633512
