#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 middle row left 
#pp → Tbq→  tZbq, Γ/m_T≤0.05 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
640.0 8.203515443298166 2.249054605835778
650.0 3.2960971217745736 1.9498445997580425
700.0 1.0471285480508994 1.247383514242943
800.0 0.35481338923357547 0.7079457843841374
896.0 0.3872576449216171 0.5495408738576243
900.0 0.5997910762555091 0.4764309868054151
1000.0 0.24888573182823928 0.22181964198002171
1200.0 0.1191242008027378 0.1106623783977667
1300.0 0.130016957803329 0.08550667128846832
1400.0 0.101391138573668 0.06950243175887962
1500.0 0.035318316979195734 0.059429215861557326
1700.0 0.03944573020752789 0.044463126746910976
1800.0 0.03483373150360124 0.039994474976109695
