#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 upper row right 
#pp → Tbq→  tHbq, Γ/m_T=0.1 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 1.0584775290089057 0.5770270404580273
800.0 0.25985024842433535 0.33632281654732465
900.0 0.150014736928792 0.22623362858224444
1020.0 0.12355451919105288 0.18193172089330928
1030.0 0.2127075692382407 0.17487217189357188
1200.0 0.16743712838323158 0.086192608518267
1400.0 0.03494248937240686 0.04812358701515471
1600.0 0.023504697788779855 0.032526213608306445
1800.0 0.02751816066250013 0.024654804298247988
2000.0 0.02007658959905505 0.01960272725530166
2200.0 0.018599228098568586 0.01666391640388882
2400.0 0.020660369011514062 0.01492998034349425
2600.0 0.019602727255301718 0.013123287353155672
