#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig9 upper row left 
#pp → Tbq → tHbq, Γ/m_T=0.2 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
800.0 0.3477941830600917 0.460493114161463
1000.0 0.16479428587171596 0.27416785161915136
1013.0 0.2552847037696332 0.25772528276950013
1200.0 0.21306513849323738 0.13052763804649034
1400.0 0.06424676130584017 0.0706599870848521
1600.0 0.0401149065775666 0.05040566385053488
1800.0 0.035279357004640514 0.036474006492530284
2000.0 0.03561663556682193 0.03177357745341629
2200.0 0.029305028545774048 0.026899986751959332
2400.0 0.029726275321830604 0.023997460707811506
2600.0 0.037352016226271774 0.02310129700083159
