#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s} =$ 13 TeV at the CMS experiment
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Tumasyan and al. CMS Collaborations 
#Fig 37 upper right 
#pp → TT → Ht 
#Mass(GeV), obs(pb), exp(pb)
900 0.010326816986356952 0.006016301730560562
1000 0.005222483721680717 0.003596382881476301
1100 0.0035733258875917527 0.002675311162914405
1200 0.0034380552308855136 0.0025086573176544215
1300 0.0027099476030568465 0.0021360378231684383
1400 0.0022200804634650954 0.0018423117776289416
1500 0.0019901356597149637 0.0016621506779162624
1600 0.0018187647830163593 0.0014804408544965278
1700 0.0015889759297219492 0.001352959873038293
1800 0.0014152657243572044 0.001059594425465274

