#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s} =$ 13 TeV at the CMS experiment
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Tumasyan and al. CMS Collaborations 
#Fig 37 lower 
#pp → TT → bW 
#Mass(GeV), obs(pb), exp(pb)
900 0.0050050078376548185 0.00618965818891261
1000 0.0035530002503895604 0.004903161412303269
1100 0.0028145227400148943 0.004047089950759765
1200 0.002454036129786451 0.0035774323389799532
1300 0.0021251077366316773 0.003272509774373372
1400 0.001878492752407303 0.0029935772947204935
1500 0.0016491566288031586 0.002757250286216807
1600 0.0015936059859076948 0.0026101572156825414
1700 0.0013612207835766253 0.002437276280138515
1800 0.0010138002195816667 0.00237137370566166



