#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s} =$ 13 TeV at the CMS experiment
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Tumasyan and al. CMS Collaborations 
#Fig 37 upper left 
#pp → TT → tZ 
#Mass(GeV), obs(pb), exp(pb)
900 0.006545161965657979 0.0054490200755986104
1000 0.005029126239917861 0.004358163133372778
1100 0.003953802078431887 0.0036282858286906736
1200 0.0031442164665559987 0.0031622776601683794
1300 0.002885353343854162 0.002901927560654375
1400 0.002374771840648199 0.0026783090976269706
1500 0.002242571345558007 0.0024437664687235374
1600 0.002105634969515792 0.002415931281594951
1700 0.001814289000848621 0.002268409163681546
1800 0.004308522430013058 0.002154434690031887

