#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s} =$ 13 TeV at the CMS experiment
#luminosity 138 fb-1 
#Energy 13000 GeV 
#A.~Tumasyan and al. CMS Collaborations 
#Fig 38 lower 
#pp → BB → tW 
#Mass(GeV), obs(pb), exp(pb)
1100 0.002819921162856257 0.0035656006596295115
1200 0.002420395049150115 0.0028353497293806327
1300 0.0019142141459778939 0.002394125538908959
1400 0.0016610363893744477 0.002100268803126129
1500 0.0015987901693146343 0.001914214145977892
1600 0.001497460758052617 0.0017446413483873603
1700 0.001357379924705313 0.0016163328729213156
1800 0.0013499937365923753 0.0015221745447340572


