#arXiv:1612.00999 
#title:Search for single production of a heavy vector-like T quark decaying to a Higgs boson and a top quark with a lepton and jets in the final state 
#luminosity 2.3 fb-1 
#Energy 13000 GeV 
#V.~Khachatryan and al. CMS Collaborations
#Fig10 left 
#pp → Tbq →  tHbq, singlet LH
#Mass(GeV), \sigma_{theorie}(pb)
700 0.35989828345732977
800 0.2441408484036857
900 0.17105905458086634
1000 0.12141425040375708
1100 0.08506977436389418
1200 0.06156386011348761
1300 0.04455294375015627
1400 0.03395462015176937
1500 0.025710608749817947
1580 0.020369893765591212

