#arXiv:1701.07409 
#title:Search for single production of vector-like quarks decaying to a Z boson and a top or a bottom quark in proton-proton collisions at $\sqrt{s=}$ 13 TeV 
#Luminosity 2.3 fb-1 
#Energy 13000 GeV 
#A.~ M.~Sirunyan and al. CMS 
#Fig 4 left
#pp → Tb→Ztb, doublet RH 
#Mass(GeV), \sigma_{theorie}(pb)
700 0.06352660773700423
800 0.045719189442686096
900 0.03404236347572529
1000 0.025347835889920557
1100 0.019089219744423958
1200 0.014539905247440883
1300 0.011328885621920835
1400 0.008727436538083819
1500 0.006800053276133044
1600 0.005298316906283713
1700 0.004128226779919504

