#arXiv:1701.08328
#title:Search for single production of vector-like quarks decaying into a b quark and a W boson in proton-proton collisions at $\sqrt{s} =$ 13 TeV
#luminosity 2.3 fb-1
#Energy 13000 GeV
#A.~M.~Sirunyan and al. CMS Collaborations
#Fig 5
#pp→Tbq→bWbq, C(bW)=0.5                        
#Mass (GeV), C(bW), \sigma_{theorie}(pb)
700 0.7224197747120276
800 0.49163483937849983
900 0.3390465784660626
1000 0.24331402719072054
1100 0.16668711014599266
1200 0.12283925554830731
1300 0.08757156526127721
1400 0.0671566984377977
1500 0.05082201419965753

