#arXiv:1708.01062 
#title:Search for single production of a vector-like T quark decaying to a Z boson and a top quark in proton-proton collisions at $\sqrt{s}$ = 13 TeV 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan et al. CMS Collaborations  
#Fig 5 left 
#pp → Ttq →tZtq, C(bW)=0.5, doublet RH   
#Mass(GeV),  C(tZ), \sigma_{theorie}(pb)
700 0.5 0.06049589250534876
800 0.5 0.0426031414778527
900 0.5 0.03218208764002868
1000 0.5 0.024595912771301874
1100 0.5 0.018798001292527424
1200 0.5 0.014535719986959055
1300 0.5 0.011372018655081497
1400 0.5 0.00889689732655456
1500 0.5 0.007042319687090451
1600 0.5 0.0055743327988239
1700 0.5 0.004210808415611692

