#arXiv:1806.10555
#title:Search for pair and single production of vectorlike quarks in final states with at least one Z boson decaying into a pair of electrons or muons in $pp$ collision data collected with the ATLAS detector at $\sqrt{s}=$13 TeV 
#Luminosity 36.1 fb-1
#Energy 13000 GeV 
#G.~Aad and al. ATLAS Collaborations 
#Fig 15
#pp → Tbq→Zt, Singlet
#Mass(GeV), k, \sigma_theorie(pb)
700 0.5 0.27755544633150203
800 0.5 0.18873918221350985
900 0.5 0.12980771126189358
1000 0.5 0.09132530535771241
1100 0.5 0.062101694189156224
1200 0.5 0.0452035365636025
1300 0.5 0.03216541525900948
1400 0.5 0.024223475436577158
1500 0.5 0.01824247433156025
1600 0.5 0.012980771126189372
1700 0.5 0.009556427436951148
1800 0.5 0.007035429903964573
1900 0.5 0.005298316906283723
2000 0.5 0.004135997912402935



