#arXiv:2201.02227
#title: Search for single production of a vector-like T quark decaying to a top quark and a Z boson in the final state with jets and missing transverse momentum at $\sqrt{s}$ = 13 TeV
#luminosity 137 fb-1
#Energy 13000GeV
#A.~Tumasyan and al. CMS Collaborations 
#Fig8 upper left 
#pp→Tbq→tZbq, Singlet, $\frac{\Gamma}{m_T} \leq 0.05$
#Mass(GeV), Mass(GeV), $\frac{\Gamma}{m_T}$=0.01, \sigma_{theorie}(pb) 
600 0.01 0.1753
700 0.01 0.078
800 0.01 0.0415
900 0.01 0.0233 
1000 0.01 0.0136
1100 0.01 0.0082
1200 0.01 0.0051
1300 0.01 0.0032
1400 0.01 0.0021
1500 0.01 0.0014
1600 0.01 0.00094
1700 0.01 0.00064
1800 0.01 0.00045
     
