#arXiv:1807.11883
#title:Search for new phenomena in events with same-charge leptons and b-jets in $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#11883_ATLAS_36.1 fb-1 
#Energy 13000 GeV 
#M.~Aaboud show all.ATLAS Collaboration 
#Fig10b 
#pp → XX→Wt, T_{5/3} Wt coupling 
#coupling, obs, exp
0.0 1195.0 1206.0
0.1 1199.0 1210.0
0.2 1212.0 1226.0
0.3 1238.0 1256.0
0.4 1282.0 1308.0
0.5 1338.0 1368.0
0.6 1414.0 1444.0
0.7 1484.0 1512.0
0.8 1546.0 1572.0
0.9 1590.0 1618.0
1.0 1636.0 1664.0

